,artist,date,song
4087,Wale Featuring Usher,2015-05-02,The Matrimony
4088,Canaan Smith,2015-05-02,Love You Like That
4089,Drake,2015-05-02,Legend
4090,Rihanna,2015-05-02,American Oxygen
4091,Kelsea Ballerini,2015-05-02,Love Me Like You Mean It
4092,Blake Shelton,2015-05-02,Sangria
4093,Nicky Jam & Enrique Iglesias,2015-05-02,El Perdon (Forgiveness)
4094,Nicki Minaj Featuring Beyonce,2015-05-02,Feeling Myself
4095,Kid Ink Featuring DeJ Loaf,2015-05-02,Be Real
4096,Easton Corbin,2015-05-02,Baby Be My Love Song
4097,Sawyer Fredericks,2015-05-02,Imagine
4098,X Ambassadors,2015-05-02,Renegades
4099,Kimberly Nichole,2015-05-02,House Of The Rising Sun
4100,Mark Ronson Featuring Bruno Mars,2015-04-04,Uptown Funk!
4101,Maroon 5,2015-04-04,Sugar
4102,Ed Sheeran,2015-04-04,Thinking Out Loud
4103,Ellie Goulding,2015-04-04,Love Me Like You Do
4104,Rihanna & Kanye West & Paul McCartney,2015-04-04,FourFiveSeconds
4105,The Weeknd,2015-04-04,Earned It (Fifty Shades Of Grey)
4106,Taylor Swift,2015-04-04,Style
4107,Fetty Wap,2015-04-04,Trap Queen
4108,Pitbull & Ne-Yo,2015-04-04,Time Of Our Lives
4109,Flo Rida Featuring Sage The Gemini & Lookas,2015-04-04,G.D.F.R.
4110,Taylor Swift,2015-04-04,Blank Space
4111,Hozier,2015-04-04,Take Me To Church
4112,Natalie La Rose Featuring Jeremih,2015-04-04,Somebody
4113,Nicki Minaj Featuring Drake & Lil Wayne,2015-04-04,Truffle Butter
4114,WALK THE MOON,2015-04-04,Shut Up And Dance
4115,Ariana Grande,2015-04-04,One Last Time
4116,Meghan Trainor,2015-04-04,Lips Are Movin
4117,Sam Smith,2015-04-04,Lay Me Down
4118,Usher Featuring Juicy J,2015-04-04,I Don't Mind
4119,Nick Jonas,2015-04-04,Chains
4120,Sam Hunt,2015-04-04,Take Your Time
4121,Chris Brown & Tyga,2015-04-04,Ayo
4122,Sam Smith,2015-04-04,I'm Not The Only One
4123,Taylor Swift,2015-04-04,Shake It Off
4124,Meghan Trainor,2015-04-04,All About That Bass
4125,Zedd Featuring Selena Gomez,2015-04-04,I Want You To Know
4126,Jason Derulo,2015-04-04,Want To Want Me
4127,Kelly Clarkson,2015-04-04,Heartbeat Song
4128,Fall Out Boy,2015-04-04,Centuries
4129,Calvin Harris Featuring Ellie Goulding,2015-04-04,Outside
4130,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015-04-04,Only
4131,Omarion Featuring Chris Brown & Jhene Aiko,2015-04-04,Post To Be
4132,Big Sean Featuring Drake,2015-04-04,Blessings
4133,Big Sean Featuring E-40,2015-04-04,I Don't F**k With You
4134,Maroon 5,2015-04-04,Animals
4135,Ne-Yo Featuring Juicy J,2015-04-04,She Knows
4136,Sam Smith,2015-04-04,Stay With Me
4137,Nick Jonas,2015-04-04,Jealous
4138,Tove Lo,2015-04-04,Talking Body
4139,Vance Joy,2015-04-04,Riptide
4140,Zac Brown Band,2015-04-04,Homegrown
4141,Beyonce,2015-04-04,7/11
4142,Cole Swindell,2015-04-04,Ain't Worth The Whiskey
4143,Lillywood & Robin Schulz,2015-04-04,Prayer In C
4144,One Direction,2015-04-04,Night Changes
4145,Sia,2015-04-04,Chandelier
4146,Meghan Trainor,2015-04-04,Dear Future Husband
4147,Sia,2015-04-04,Elastic Heart
4148,Rae Sremmurd,2015-04-04,No Type
4149,Chris Young,2015-04-04,Lonely Eyes
4150,Rae Sremmurd Featuring Nicki Minaj & Young Thug,2015-04-04,Throw Sum Mo
4151,Drake,2015-04-04,Energy
4152,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",2015-04-04,All Day
4153,Imagine Dragons,2015-04-04,I Bet My Life
4154,Darius Rucker,2015-04-04,Homegrown Honey
4155,Andy Grammer,2015-04-04,"Honey, I'm Good."
4156,Drake,2015-04-04,Know Yourself
4157,Trey Songz,2015-04-04,Slow Motion
4158,Sheppard,2015-04-04,Geronimo
4159,Ciara,2015-04-04,I Bet
4160,Kendrick Lamar,2015-04-04,King Kunta
4161,George Ezra,2015-04-04,Budapest
4162,Drake,2015-04-04,Legend
4163,O.T. Genasis,2015-04-04,CoCo
4164,Dierks Bentley,2015-04-04,Say You Do
4165,Kendrick Lamar,2015-04-04,The Blacker The Berry
4166,Mumford & Sons,2015-04-04,Believe
4167,Brett Eldredge,2015-04-04,Mean To Me
4168,Silento,2015-04-04,Watch Me
4169,Jason Aldean,2015-04-04,Just Gettin' Started
4170,Nicki Minaj Featuring Beyonce,2015-04-04,Feeling Myself
4171,Miranda Lambert,2015-04-04,Little Red Wagon
4172,Tyler Farr,2015-04-04,A Guy Walks Into A Bar
4173,Tori Kelly,2015-04-04,Nobody Love
4174,J. Cole,2015-04-04,Apparently
4175,Drake,2015-04-04,10 Bands
4176,A Thousand Horses,2015-04-04,Smoke
4177,Fifth Harmony Featuring Kid Ink,2015-04-04,Worth It
4178,Keith Urban Featuring Eric Church,2015-04-04,Raise 'Em Up
4179,Blake Shelton Featuring Ashley Monroe,2015-04-04,Lonely Tonight
4180,Billy Currington,2015-04-04,Don't It
4181,Wiz Khalifa Featuring Charlie Puth,2015-04-04,See You Again
4182,Kendrick Lamar,2015-04-04,Alright
4183,twenty one pilots,2015-04-04,Fairly Local
4184,Fall Out Boy,2015-04-04,Immortals
4185,Selena Gomez,2015-04-04,The Heart Wants What It Wants
4186,Carly Rae Jepsen,2015-04-04,I Really Like You
4187,Empire Cast Featuring Jussie Smollett & Yazz,2015-04-04,You're So Beautiful
4188,Thomas Rhett,2015-04-04,Make Me Wanna
4189,Luke Bryan,2015-04-04,I See You
4190,Kendrick Lamar Featuring George Clinton & Thundercat,2015-04-04,Wesley's Theory
4191,OneRepublic,2015-04-04,I Lived
4192,LunchMoney Lewis,2015-04-04,Bills
4193,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",2015-04-04,These Walls
4194,Little Big Town,2015-04-04,Girl Crush
4195,Florida Georgia Line,2015-04-04,Sippin' On Fire
4196,Eric Paslay,2015-04-04,She Don't Love You
4197,Skrillex & Diplo With Justin Bieber,2015-04-04,Where Are U Now
4198,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",2015-04-04,Institutionalized
4199,James Newton Howard Featuring Jennifer Lawrence,2015-04-04,The Hanging Tree
4200,Mark Ronson Featuring Bruno Mars,2015-03-07,Uptown Funk!
4201,Ed Sheeran,2015-03-07,Thinking Out Loud
4202,Ellie Goulding,2015-03-07,Love Me Like You Do
4203,Maroon 5,2015-03-07,Sugar
4204,Hozier,2015-03-07,Take Me To Church
4205,Rihanna & Kanye West & Paul McCartney,2015-03-07,FourFiveSeconds
4206,Taylor Swift,2015-03-07,Blank Space
4207,Taylor Swift,2015-03-07,Style
4208,The Weeknd,2015-03-07,Earned It (Fifty Shades Of Grey)
4209,Meghan Trainor,2015-03-07,Lips Are Movin
4210,Pitbull & Ne-Yo,2015-03-07,Time Of Our Lives
4211,Sam Smith,2015-03-07,I'm Not The Only One
4212,Usher Featuring Juicy J,2015-03-07,I Don't Mind
4213,Fall Out Boy,2015-03-07,Centuries
4214,Taylor Swift,2015-03-07,Shake It Off
4215,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015-03-07,Only
4216,Nicki Minaj Featuring Drake & Lil Wayne,2015-03-07,Truffle Butter
4217,Nick Jonas,2015-03-07,Jealous
4218,Meghan Trainor,2015-03-07,All About That Bass
4219,Sam Smith,2015-03-07,Stay With Me
4220,Ella Henderson,2015-03-07,Ghost
4221,Ne-Yo Featuring Juicy J,2015-03-07,She Knows
4222,Lillywood & Robin Schulz,2015-03-07,Prayer In C
4223,Big Sean Featuring E-40,2015-03-07,I Don't F**k With You
4224,Beyonce,2015-03-07,7/11
4225,Drake,2015-03-07,Energy
4226,Natalie La Rose Featuring Jeremih,2015-03-07,Somebody
4227,Imagine Dragons,2015-03-07,I Bet My Life
4228,Flo Rida Featuring Sage The Gemini & Lookas,2015-03-07,G.D.F.R.
4229,Sia,2015-03-07,Chandelier
4230,Vance Joy,2015-03-07,Riptide
4231,Chris Brown & Tyga,2015-03-07,Ayo
4232,Ariana Grande & The Weeknd,2015-03-07,Love Me Harder
4233,Ariana Grande,2015-03-07,One Last Time
4234,Fetty Wap,2015-03-07,Trap Queen
4235,O.T. Genasis,2015-03-07,CoCo
4236,Maroon 5,2015-03-07,Animals
4237,Rae Sremmurd,2015-03-07,No Type
4238,Sam Hunt,2015-03-07,Take Your Time
4239,"Jessie J, Ariana Grande & Nicki Minaj",2015-03-07,Bang Bang
4240,Sia,2015-03-07,Elastic Heart
4241,Nick Jonas,2015-03-07,Chains
4242,Calvin Harris Featuring Ellie Goulding,2015-03-07,Outside
4243,Selena Gomez,2015-03-07,The Heart Wants What It Wants
4244,Thomas Rhett,2015-03-07,Make Me Wanna
4245,Kelly Clarkson,2015-03-07,Heartbeat Song
4246,Blake Shelton Featuring Ashley Monroe,2015-03-07,Lonely Tonight
4247,WALK THE MOON,2015-03-07,Shut Up And Dance
4248,I LOVE MAKONNEN Featuring Drake,2015-03-07,Tuesday
4249,Tove Lo,2015-03-07,Habits (Stay High)
4250,Taylor Swift,2015-03-07,Wonderland
4251,Drake,2015-03-07,Legend
4252,Luke Bryan,2015-03-07,I See You
4253,Omarion Featuring Chris Brown & Jhene Aiko,2015-03-07,Post To Be
4254,One Direction,2015-03-07,Night Changes
4255,Florida Georgia Line,2015-03-07,Sun Daze
4256,Brett Eldredge,2015-03-07,Mean To Me
4257,Drake,2015-03-07,10 Bands
4258,Cole Swindell,2015-03-07,Ain't Worth The Whiskey
4259,Jason Aldean,2015-03-07,Just Gettin' Started
4260,J. Cole,2015-03-07,Apparently
4261,Nicki Minaj Featuring Beyonce,2015-03-07,Feeling Myself
4262,OneRepublic,2015-03-07,I Lived
4263,Randy Houser,2015-03-07,Like A Cowboy
4264,Tove Lo,2015-03-07,Talking Body
4265,Zac Brown Band,2015-03-07,Homegrown
4266,Lee Brice,2015-03-07,Drinking Class
4267,Big Sean Featuring Drake,2015-03-07,Blessings
4268,The Weeknd,2015-03-07,Often
4269,Drake,2015-03-07,Know Yourself
4270,Chris Young,2015-03-07,Lonely Eyes
4271,Sam Smith,2015-03-07,Lay Me Down
4272,Darius Rucker,2015-03-07,Homegrown Honey
4273,Kanye West Featuring Paul McCartney,2015-03-07,Only One
4274,Prince Royce Featuring Snoop Dogg,2015-03-07,Stuck On A Feeling
4275,Sheppard,2015-03-07,Geronimo
4276,James Newton Howard Featuring Jennifer Lawrence,2015-03-07,The Hanging Tree
4277,Rae Sremmurd Featuring Nicki Minaj & Young Thug,2015-03-07,Throw Sum Mo
4278,Dierks Bentley,2015-03-07,Say You Do
4279,Eric Church,2015-03-07,Talladega
4280,Drake,2015-03-07,No Tellin'
4281,Drake Featuring PARTYNEXTDOOR,2015-03-07,Preach
4282,Drake,2015-03-07,6 God
4283,Drake Featuring Lil Wayne,2015-03-07,Used To
4284,Chase Bryant,2015-03-07,Take It On Back
4285,Tyler Farr,2015-03-07,A Guy Walks Into A Bar
4286,Fifth Harmony,2015-03-07,Sledgehammer
4287,Florence + The Machine,2015-03-07,What Kind Of Man
4288,Imagine Dragons,2015-03-07,Shots
4289,DeJ Loaf,2015-03-07,Try Me
4290,Wale Featuring Jeremih,2015-03-07,The Body
4291,Jake Owen,2015-03-07,What We Ain't Got
4292,Miranda Lambert,2015-03-07,Little Red Wagon
4293,George Ezra,2015-03-07,Budapest
4294,Drake,2015-03-07,Now & Forever
4295,Trey Songz,2015-03-07,Slow Motion
4296,Drake,2015-03-07,6 Man
4297,B.o.B Featuring Trey Songz,2015-03-07,Not For Long
4298,Common & John Legend,2015-03-07,Glory
4299,Wiz Khalifa & Iggy Azalea,2015-03-07,Go Hard Or Go Home
4300,Mark Ronson Featuring Bruno Mars,2015-02-07,Uptown Funk!
4301,Ed Sheeran,2015-02-07,Thinking Out Loud
4302,Hozier,2015-02-07,Take Me To Church
4303,Taylor Swift,2015-02-07,Blank Space
4304,Taylor Swift,2015-02-07,Shake It Off
4305,Maroon 5,2015-02-07,Sugar
4306,Meghan Trainor,2015-02-07,Lips Are Movin
4307,Sam Smith,2015-02-07,I'm Not The Only One
4308,Nick Jonas,2015-02-07,Jealous
4309,Fall Out Boy,2015-02-07,Centuries
4310,Meghan Trainor,2015-02-07,All About That Bass
4311,Ariana Grande & The Weeknd,2015-02-07,Love Me Harder
4312,Big Sean Featuring E-40,2015-02-07,I Don't F**k With You
4313,Usher Featuring Juicy J,2015-02-07,I Don't Mind
4314,Selena Gomez,2015-02-07,The Heart Wants What It Wants
4315,James Newton Howard Featuring Jennifer Lawrence,2015-02-07,The Hanging Tree
4316,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015-02-07,Only
4317,Maroon 5,2015-02-07,Animals
4318,Beyonce,2015-02-07,7/11
4319,Ellie Goulding,2015-02-07,Love Me Like You Do
4320,Pitbull & Ne-Yo,2015-02-07,Time Of Our Lives
4321,Rae Sremmurd,2015-02-07,No Type
4322,O.T. Genasis,2015-02-07,CoCo
4323,Ella Henderson,2015-02-07,Ghost
4324,I LOVE MAKONNEN Featuring Drake,2015-02-07,Tuesday
4325,Sam Smith,2015-02-07,Stay With Me
4326,The Weeknd,2015-02-07,Earned It (Fifty Shades Of Grey)
4327,"Jessie J, Ariana Grande & Nicki Minaj",2015-02-07,Bang Bang
4328,Mr. Probz,2015-02-07,Waves
4329,Tove Lo,2015-02-07,Habits (Stay High)
4330,Vance Joy,2015-02-07,Riptide
4331,Sia,2015-02-07,Elastic Heart
4332,Sia,2015-02-07,Chandelier
4333,Flo Rida Featuring Sage The Gemini & Lookas,2015-02-07,G.D.F.R.
4334,Alesso Featuring Tove Lo,2015-02-07,Heroes (We Could Be)
4335,Ed Sheeran,2015-02-07,Don't
4336,Taylor Swift,2015-02-07,Style
4337,Ne-Yo Featuring Juicy J,2015-02-07,She Knows
4338,OneRepublic,2015-02-07,I Lived
4339,Lillywood & Robin Schulz,2015-02-07,Prayer In C
4340,Luke Bryan,2015-02-07,I See You
4341,Carrie Underwood,2015-02-07,Something In The Water
4342,Eric Church,2015-02-07,Talladega
4343,Florida Georgia Line,2015-02-07,Sun Daze
4344,MAGIC!,2015-02-07,Rude
4345,One Direction,2015-02-07,Night Changes
4346,Jeremih Featuring YG,2015-02-07,Don't Tell 'Em
4347,Iggy Azalea Featuring Rita Ora,2015-02-07,Black Widow
4348,Fifth Harmony,2015-02-07,Sledgehammer
4349,Calvin Harris Featuring John Newman,2015-02-07,Blame
4350,Blake Shelton Featuring Ashley Monroe,2015-02-07,Lonely Tonight
4351,Prince Royce Featuring Snoop Dogg,2015-02-07,Stuck On A Feeling
4352,Sam Hunt,2015-02-07,Take Your Time
4353,Rihanna & Kanye West & Paul McCartney,2015-02-07,FourFiveSeconds
4354,Thomas Rhett,2015-02-07,Make Me Wanna
4355,Calvin Harris Featuring Ellie Goulding,2015-02-07,Outside
4356,DeJ Loaf,2015-02-07,Try Me
4357,Nicki Minaj Featuring Beyonce,2015-02-07,Feeling Myself
4358,The Weeknd,2015-02-07,Often
4359,Lee Brice,2015-02-07,Drinking Class
4360,Jason Aldean,2015-02-07,Just Gettin' Started
4361,Tim McGraw,2015-02-07,Shotgun Rider
4362,Imagine Dragons,2015-02-07,I Bet My Life
4363,WALK THE MOON,2015-02-07,Shut Up And Dance
4364,Chris Brown & Tyga,2015-02-07,Ayo
4365,Brett Eldredge,2015-02-07,Mean To Me
4366,Kelly Clarkson,2015-02-07,Heartbeat Song
4367,Randy Houser,2015-02-07,Like A Cowboy
4368,Kenny Chesney,2015-02-07,Til It's Gone
4369,J. Cole,2015-02-07,Apparently
4370,Nicki Minaj Featuring Drake & Lil Wayne,2015-02-07,Truffle Butter
4371,Iggy Azalea Featuring M0,2015-02-07,Beg For It
4372,Rae Sremmurd Featuring Nicki Minaj & Young Thug,2015-02-07,Throw Sum Mo
4373,Chris Young,2015-02-07,Lonely Eyes
4374,RaeLynn,2015-02-07,God Made Girls
4375,Hoodie Allen Featuring Ed Sheeran,2015-02-07,All About It
4376,Cole Swindell,2015-02-07,Ain't Worth The Whiskey
4377,Brad Paisley,2015-02-07,Perfect Storm
4378,Fergie,2015-02-07,L.A.LOVE (la la)
4379,Darius Rucker,2015-02-07,Homegrown Honey
4380,Zac Brown Band,2015-02-07,Homegrown
4381,Fifth Harmony Featuring Kid Ink,2015-02-07,Worth It
4382,Chase Bryant,2015-02-07,Take It On Back
4383,One Direction,2015-02-07,Steal My Girl
4384,Fall Out Boy,2015-02-07,Uma Thurman
4385,Fetty Wap,2015-02-07,Trap Queen
4386,Kid Ink Featuring Usher & Tinashe,2015-02-07,Body Language
4387,Sheppard,2015-02-07,Geronimo
4388,Omarion Featuring Chris Brown & Jhene Aiko,2015-02-07,Post To Be
4389,Dierks Bentley,2015-02-07,Say You Do
4390,B.o.B Featuring Trey Songz,2015-02-07,Not For Long
4391,Jake Owen,2015-02-07,What We Ain't Got
4392,Wale Featuring Jeremih,2015-02-07,The Body
4393,Natalie La Rose Featuring Jeremih,2015-02-07,Somebody
4394,Becky G,2015-02-07,Can't Stop Dancin'
4395,Fall Out Boy,2015-02-07,Immortals
4396,David Guetta Featuring Sam Martin,2015-02-07,Dangerous
4397,Tyler Farr,2015-02-07,A Guy Walks Into A Bar
4398,Trey Songz,2015-02-07,Slow Motion
4399,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2015-02-07,***Flawless
4400,Taylor Swift,2015-01-03,Blank Space
4401,Hozier,2015-01-03,Take Me To Church
4402,Mark Ronson Featuring Bruno Mars,2015-01-03,Uptown Funk!
4403,Ed Sheeran,2015-01-03,Thinking Out Loud
4404,Meghan Trainor,2015-01-03,Lips Are Movin
4405,Sam Smith,2015-01-03,I'm Not The Only One
4406,Ariana Grande & The Weeknd,2015-01-03,Love Me Harder
4407,Nick Jonas,2015-01-03,Jealous
4408,Maroon 5,2015-01-03,Animals
4409,Meghan Trainor,2015-01-03,All About That Bass
4410,Taylor Swift,2015-01-03,Shake It Off
4411,Big Sean Featuring E-40,2015-01-03,I Don't F**k With You
4412,Selena Gomez,2015-01-03,The Heart Wants What It Wants
4413,Matt McAndrew,2015-01-03,Wasted Love
4414,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015-01-03,Only
4415,Tove Lo,2015-01-03,Habits (Stay High)
4416,I LOVE MAKONNEN Featuring Drake,2015-01-03,Tuesday
4417,Mr. Probz,2015-01-03,Waves
4418,Ed Sheeran,2015-01-03,Don't
4419,Fall Out Boy,2015-01-03,Centuries
4420,James Newton Howard Featuring Jennifer Lawrence,2015-01-03,The Hanging Tree
4421,"Jessie J, Ariana Grande & Nicki Minaj",2015-01-03,Bang Bang
4422,Rae Sremmurd,2015-01-03,No Type
4423,Beyonce,2015-01-03,7/11
4424,Bobby Shmurda,2015-01-03,Hot Boy
4425,Calvin Harris Featuring John Newman,2015-01-03,Blame
4426,Sam Smith,2015-01-03,Stay With Me
4427,O.T. Genasis,2015-01-03,CoCo
4428,Iggy Azalea Featuring M0,2015-01-03,Beg For It
4429,Jeremih Featuring YG,2015-01-03,Don't Tell 'Em
4430,Usher Featuring Juicy J,2015-01-03,I Don't Mind
4431,Vance Joy,2015-01-03,Riptide
4432,Iggy Azalea Featuring Rita Ora,2015-01-03,Black Widow
4433,Craig Wayne Boyd,2015-01-03,My Baby's Got A Smile On Her Face
4434,Mariah Carey,2015-01-03,All I Want For Christmas Is You
4435,Alesso Featuring Tove Lo,2015-01-03,Heroes (We Could Be)
4436,Jason Derulo,2015-01-03,Trumpets
4437,Tim McGraw,2015-01-03,Shotgun Rider
4438,Milky Chance,2015-01-03,Stolen Dance
4439,Sia,2015-01-03,Chandelier
4440,Carrie Underwood,2015-01-03,Something In The Water
4441,Ariana Grande,2015-01-03,Santa Tell Me
4442,Nicki Minaj Featuring Beyonce,2015-01-03,Feeling Myself
4443,Rich Gang Featuring Young Thug & Rich Homie Quan,2015-01-03,Lifestyle
4444,Clean Bandit Featuring Jess Glynne,2015-01-03,Rather Be
4445,DeJ Loaf,2015-01-03,Try Me
4446,Ella Henderson,2015-01-03,Ghost
4447,Nicki Minaj,2015-01-03,Anaconda
4448,MAGIC!,2015-01-03,Rude
4449,One Direction,2015-01-03,Night Changes
4450,Eric Church,2015-01-03,Talladega
4451,Trey Songz Featuring Nicki Minaj,2015-01-03,"Touchin, Lovin"
4452,Chris Jamison,2015-01-03,Velvet
4453,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",2015-01-03,Hold You Down
4454,Fergie,2015-01-03,L.A.LOVE (la la)
4455,T.I. Featuring Young Thug,2015-01-03,About The Money
4456,Florida Georgia Line,2015-01-03,Sun Daze
4457,Pentatonix,2015-01-03,"Mary, Did You Know?"
4458,Brad Paisley,2015-01-03,Perfect Storm
4459,Imagine Dragons,2015-01-03,I Bet My Life
4460,Luke Bryan,2015-01-03,I See You
4461,Nicki Minaj Featuring Skylar Grey,2015-01-03,Bed Of Lies
4462,Chris Jamison & Adam Levine,2015-01-03,Lost Without U
4463,OneRepublic,2015-01-03,I Lived
4464,Jessie J,2015-01-03,Masterpiece
4465,Blake Shelton Featuring Ashley Monroe,2015-01-03,Lonely Tonight
4466,Kenny Chesney,2015-01-03,Til It's Gone
4467,David Guetta Featuring Sam Martin,2015-01-03,Dangerous
4468,Lillywood & Robin Schulz,2015-01-03,Prayer In C
4469,One Direction,2015-01-03,Steal My Girl
4470,Parmalee,2015-01-03,Close Your Eyes
4471,Lee Brice,2015-01-03,Drinking Class
4472,Jason Aldean,2015-01-03,Just Gettin' Started
4473,Damien,2015-01-03,Soldier
4474,Fifth Harmony,2015-01-03,Sledgehammer
4475,Thomas Rhett,2015-01-03,Make Me Wanna
4476,Flo Rida Featuring Sage The Gemini & Lookas,2015-01-03,G.D.F.R.
4477,RaeLynn,2015-01-03,God Made Girls
4478,Ne-Yo Featuring Juicy J,2015-01-03,She Knows
4479,Keith Urban,2015-01-03,Somewhere In My Car
4480,The Weeknd,2015-01-03,Often
4481,Brett Eldredge,2015-01-03,Mean To Me
4482,Matt McAndrew & Adam Levine,2015-01-03,Lost Stars
4483,Maddie & Tae,2015-01-03,Girl In A Country Song
4484,Colbie Caillat,2015-01-03,Try
4485,WALK THE MOON,2015-01-03,Shut Up And Dance
4486,Pitbull & Ne-Yo,2015-01-03,Time Of Our Lives
4487,Nicki Minaj Featuring Ariana Grande,2015-01-03,Get On Your Knees
4488,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2015-01-03,***Flawless
4489,J. Cole,2015-01-03,Apparently
4490,Randy Houser,2015-01-03,Like A Cowboy
4491,Kid Ink Featuring Usher & Tinashe,2015-01-03,Body Language
4492,August Alsina,2015-01-03,No Love
4493,Charli XCX,2015-01-03,Break The Rules
4494,Chris Young,2015-01-03,Lonely Eyes
4495,Pitbull Featuring John Ryan,2015-01-03,Fireball
4496,Darius Rucker,2015-01-03,Homegrown Honey
4497,J. Cole,2015-01-03,Wet Dreamz
4498,Lorde,2015-01-03,Yellow Flicker Beat
4499,Nico & Vinz,2015-01-03,In Your Arms
4500,Taylor Swift,2014-12-06,Blank Space
4501,Meghan Trainor,2014-12-06,All About That Bass
4502,Hozier,2014-12-06,Take Me To Church
4503,Maroon 5,2014-12-06,Animals
4504,Taylor Swift,2014-12-06,Shake It Off
4505,Tove Lo,2014-12-06,Habits (Stay High)
4506,Sam Smith,2014-12-06,I'm Not The Only One
4507,Nick Jonas,2014-12-06,Jealous
4508,Ariana Grande & The Weeknd,2014-12-06,Love Me Harder
4509,Ed Sheeran,2014-12-06,Don't
4510,Big Sean Featuring E-40,2014-12-06,I Don't F**k With You
4511,"Jessie J, Ariana Grande & Nicki Minaj",2014-12-06,Bang Bang
4512,I LOVE MAKONNEN Featuring Drake,2014-12-06,Tuesday
4513,Mr. Probz,2014-12-06,Waves
4514,Bobby Shmurda,2014-12-06,Hot Boy
4515,Rae Sremmurd,2014-12-06,No Type
4516,Jason Derulo,2014-12-06,Trumpets
4517,Mark Ronson Featuring Bruno Mars,2014-12-06,Uptown Funk!
4518,Meghan Trainor,2014-12-06,Lips Are Movin
4519,Selena Gomez,2014-12-06,The Heart Wants What It Wants
4520,Calvin Harris Featuring John Newman,2014-12-06,Blame
4521,Jeremih Featuring YG,2014-12-06,Don't Tell 'Em
4522,Iggy Azalea Featuring Rita Ora,2014-12-06,Black Widow
4523,Sam Smith,2014-12-06,Stay With Me
4524,Fall Out Boy,2014-12-06,Centuries
4525,Pentatonix,2014-12-06,"Mary, Did You Know?"
4526,Rich Gang Featuring Young Thug & Rich Homie Quan,2014-12-06,Lifestyle
4527,Clean Bandit Featuring Jess Glynne,2014-12-06,Rather Be
4528,One Direction,2014-12-06,Steal My Girl
4529,Echosmith,2014-12-06,Cool Kids
4530,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2014-12-06,Only
4531,Sia,2014-12-06,Chandelier
4532,MAGIC!,2014-12-06,Rude
4533,Vance Joy,2014-12-06,Riptide
4534,Iggy Azalea Featuring M0,2014-12-06,Beg For It
4535,Fergie,2014-12-06,L.A.LOVE (la la)
4536,Chris Brown Featuring Usher & Rick Ross,2014-12-06,New Flame
4537,Carrie Underwood,2014-12-06,Something In The Water
4538,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",2014-12-06,Hold You Down
4539,Ed Sheeran,2014-12-06,Thinking Out Loud
4540,Milky Chance,2014-12-06,Stolen Dance
4541,Ariana Grande Featuring Zedd,2014-12-06,Break Free
4542,John Legend,2014-12-06,All Of Me
4543,Trey Songz Featuring Nicki Minaj,2014-12-06,"Touchin, Lovin"
4544,Tim McGraw,2014-12-06,Shotgun Rider
4545,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014-12-06,Bailando
4546,DeJ Loaf,2014-12-06,Try Me
4547,Iggy Azalea Featuring Charli XCX,2014-12-06,Fancy
4548,Charli XCX,2014-12-06,Boom Clap
4549,Pharrell Williams,2014-12-06,Happy
4550,Keith Urban,2014-12-06,Somewhere In My Car
4551,Ella Henderson,2014-12-06,Ghost
4552,Alesso Featuring Tove Lo,2014-12-06,Heroes (We Could Be)
4553,Nicki Minaj,2014-12-06,Anaconda
4554,One Direction,2014-12-06,Night Changes
4555,Maddie & Tae,2014-12-06,Girl In A Country Song
4556,T.I. Featuring Young Thug,2014-12-06,About The Money
4557,Little Big Town,2014-12-06,Day Drinking
4558,Drake,2014-12-06,0 To 100 / The Catch Up
4559,Rae Sremmurd,2014-12-06,No Flex Zone
4560,Brad Paisley,2014-12-06,Perfect Storm
4561,Kendrick Lamar,2014-12-06,i
4562,Band Aid 30,2014-12-06,Do They Know It's Christmas? (2014)
4563,Blake Shelton,2014-12-06,Neon Light
4564,Lorde,2014-12-06,Yellow Flicker Beat
4565,David Guetta Featuring Sam Martin,2014-12-06,Dangerous
4566,Frankie Ballard,2014-12-06,Sunshine & Whiskey
4567,Pitbull Featuring John Ryan,2014-12-06,Fireball
4568,Jason Aldean,2014-12-06,Burnin' It Down
4569,Nicki Minaj Featuring Skylar Grey,2014-12-06,Bed Of Lies
4570,Eric Church,2014-12-06,Talladega
4571,Imagine Dragons,2014-12-06,I Bet My Life
4572,Florida Georgia Line,2014-12-06,Sun Daze
4573,Colbie Caillat,2014-12-06,Try
4574,August Alsina,2014-12-06,No Love
4575,Big & Rich,2014-12-06,Look At You
4576,O.T. Genasis,2014-12-06,CoCo
4577,Idina Menzel Duet With Michael Buble,2014-12-06,Baby It's Cold Outside
